package,                description
mesa,                   OpenGL implementation
vulkan-intel,           Intel's Vulkan mesa driver
python,                 Python interpreter
python-pip,             package manager for Python
ufw,                    firewall
clang,                  C compiler
cmake,                  build system
doxygen,                documentation system
graphviz,               graph visualization
dosfstools,             allows manipulating FAT partitions
exfat-utils,            allows mounting exFAT partitions
ntfs-3g,                allows mounting NTFS partitions
libnotify,              allows desktop notifications
hunspell-en_CA,         spell checker for firefox
pulseaudio,             audio system
pulseaudio-alsa,        audio interface with ALSA
htop,                   system usage information
unrar,                  extracts rar files
unzip,                  extracts zip files
noto-fonts,             fonts
arc-solid-gtk-theme,    dark GTK theme
papirus-icon-theme,     icons
xorg-server-xwayland,   Wayland compatibility layer for X applications
sway,                   window manager
waybar,                 status bar
swaylock,               lock screen
swayidle,               idle management daemon for Wayland
dmenu,                  finds and launches applications
rxvt-unicode,           terminal emulator
nnn,                    terminal file manager
wl-clipboard,           clipboard utility
grim,                   screenshot utility
network-manager-applet, applet for managing network connections
imv,                    image viewer
firefox,                web browser
